show_id	rating	length
542137	G	115
70026432	G	72
60022255	G	78
70083532	G	89
1067876	G	128
70020048	G	78
70028197	G	82
70302844	G	78
70118155	G	78
80224924	G	78
60020948	G	94
80198046	G	78
516154	G	84
18021979	G	81
60033788	G	75
26009364	G	89
70109429	G	98
296682	G	86
60003540	G	79
80092857	G	92
80221447	PG	99
70112731	PG	89
70100381	PG	100
80217130	PG	103
80134893	PG	75
70121502	PG	107
80233085	PG	94
60011619	PG	117
80221639	PG	118
70060017	PG	112
81003058	PG	79
70056441	PG	87
70185045	PG	96
81012857	PG	91
80224106	PG	92
80158976	PG	62
80225034	PG	91
80244855	PG	96
80989043	PG	91
81123469	PG	88
1153194	PG-13	116
1181661	PG-13	136
80192018	PG-13	152
70098902	PG-13	119
11819467	PG-13	139
80104116	PG-13	90
70128701	PG-13	115
22497725	PG-13	82
70077557	PG-13	110
60004484	PG-13	201
70011211	PG-13	125
70304988	PG-13	113
80076698	PG-13	105
70082264	PG-13	99
80021840	PG-13	117
80201490	PG-13	110
81017724	PG-13	94
80128245	PG-13	89
80145512	PG-13	110
80217545	PG-13	86
701346	R	105
15815343	R	83
70222860	R	94
60020892	R	101
80052612	R	88
60029154	R	109
70242938	R	145
80184129	R	96
70053833	R	116
70128549	R	102
60024962	R	108
70130432	R	97
80241304	R	93
80194612	R	94
70120167	R	104
80013547	R	112
60026106	R	130
70061763	R	95
70267490	R	96
80081505	R	105
